-2.284115	-0.900129	-1.628287	-1.321750	0.874456	1.228925	0.880099	1.520572	8948.587468
-2.266702	-0.995356	-1.618397	-1.362512	0.934276	1.177234	0.700066	1.412969	4232.980353
-2.380375	-1.008056	-1.610747	-1.264848	0.801291	1.244618	0.701471	1.591504	787.522858
-2.266626	-0.993030	-1.637254	-1.330716	0.866534	1.290959	0.893719	1.580092	731.512217
-2.375861	-1.055767	-1.629775	-1.224971	0.830904	1.249939	0.859838	1.533553	5.720176
-2.362921	-0.932083	-1.541211	-1.300152	0.855028	1.268191	0.717841	1.440974	3044.399229
-2.341470	-1.085100	-1.697323	-1.242168	0.937868	1.283008	0.823384	1.557641	7.036449
-2.362097	-0.909562	-1.572634	-1.338476	0.800549	1.156250	0.721289	1.562190	31539.192689
-2.220864	-1.041713	-1.518204	-1.227459	0.971739	1.248797	0.886523	1.496864	4.816172
-2.387519	-1.014394	-1.592363	-1.339519	0.853548	1.237238	0.809198	1.450254	1442.538513
-2.345843	-1.082806	-1.574150	-1.249598	0.996228	1.246628	0.803032	1.553874	12.059285
-2.314499	-0.962592	-1.684248	-1.205337	0.876610	1.278726	0.736695	1.549281	502.604396
-2.377945	-0.934649	-1.632592	-1.334270	0.984687	1.144548	0.768523	1.477075	8879.629830
-2.252453	-0.902193	-1.687294	-1.389068	0.945955	1.139953	0.866834	1.495427	25117.747883
-2.244225	-0.986129	-1.651139	-1.259884	0.909299	1.279427	0.863450	1.507746	204.696415
-2.358374	-0.970541	-1.598244	-1.346329	0.836910	1.246515	0.809975	1.521000	3482.850596
-2.249251	-1.083857	-1.689240	-1.202194	0.995710	1.173775	0.786317	1.549753	3.963496
-2.388353	-1.070184	-1.529998	-1.305883	0.963918	1.149848	0.842799	1.404889	61.195850
-2.348158	-0.967270	-1.624926	-1.316509	0.827682	1.168507	0.823523	1.589955	4375.036376
-2.232870	-0.920534	-1.600224	-1.309149	0.940121	1.287904	0.799308	1.499998	1737.326657
-2.230553	-1.050873	-1.502670	-1.390534	0.973904	1.210767	0.752925	1.555869	570.683344
-2.307293	-0.959218	-1.572563	-1.377864	0.830234	1.238084	0.783567	1.597425	8736.845395
